Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q9UIW2,PLXNA1,Plexin-A1,11,12.634885,12.339015,0.295870000000001,1.2276250587007,Up,0.271212106686612,0.534605247428994
P43243,MATR3,Matrin-3,37,18.403805,18.271245,0.132559999999998,1.09623720195974,Up,0.271225812472298,0.534605247428994
Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,11,14.81343,14.944745,-0.131315,0.912998882828264,Down,0.271366912354403,0.534634135506209
Q05469,LIPE,Hormone-sensitive lipase,4,10.0646005,9.8096315,0.254969000000001,1.19331010143073,Up,0.271402258227165,0.534634135506209
Q6ZSZ5,ARHGEF18,Rho guanine nucleotide exchange factor 18,11,12.072445,11.82721,0.245234999999999,1.18528582593701,Up,0.271644813274298,0.534952494317592
P50750,CDK9,Cyclin-dependent kinase 9,13,16.20744,16.2446,-0.03716,0.974571541455314,Down,0.272045302002475,0.535310839897966
Q969Q0,RPL36AL,Ribosomal protein eL42-like,1,13.540115,14.031835,-0.49172,0.711176717938711,Down,0.272052995634737,0.535310839897966
O75879,GATB,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",1,8.164221,9.201516,-1.037295,0.487240175158646,Down,0.272088129093477,0.535310839897966
Q9H845,ACAD9,"Complex I assembly factor ACAD9, mitochondrial",24,14.148355,14.32115,-0.172795,0.887122351999819,Down,0.272150767446991,0.535310839897966
P55347,PKNOX1,Homeobox protein PKNOX1,3,12.858805,13.018035,-0.15923,0.895502894189762,Down,0.272297100559434,0.53543931496498
Q6VY07,PACS1,Phosphofurin acidic cluster sorting protein 1,13,12.19774,12.282995,-0.085255,0.942617911091402,Down,0.272413513958387,0.535508897605883
Q6ZNG1,ZNF600,Zinc finger protein 600,2,7.752514,9.0748505,-1.3223365,0.399886782084954,Down,0.272683401986079,0.535878928539034
P50502,ST13,Hsc70-interacting protein,7,13.490465,13.83881,-0.348345,0.785484656722522,Down,0.27276391520734,0.535878928539034
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A,9,16.055825,15.88025,0.175574999999998,1.12941445412005,Up,0.27291144679579,0.535906160151649
P12755,SKI,Ski oncogene,2,9.572095,10.574045,-1.00195,0.499324638023892,Down,0.272939950835293,0.535906160151649
P62166,NCS1,Neuronal calcium sensor 1,5,11.31326,10.88131,0.431950000000001,1.34905577881902,Up,0.273142608328375,0.53614478718213
P62241,RPS8,Small ribosomal subunit protein eS8,12,17.39379,17.50315,-0.10936,0.926999200694826,Down,0.273338085603759,0.53636918282519
Q96RT1,ERBIN,Erbin,30,14.992055,14.734115,0.257940000000001,1.19577006506304,Up,0.27342432591823,0.536379154049742
Q96BR6,ZNF669,Zinc finger protein 669,4,11.778725,11.50304,0.275685000000001,1.21056873786589,Up,0.273562313749324,0.53647765227015
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,1,11.775835,11.225185,0.550650000000001,1.46474548203331,Up,0.273652373955771,0.53647765227015
Q6ZSJ8,C1orf122,Uncharacterized protein C1orf122,3,11.747945,11.30298,0.444965,1.36128109121361,Up,0.273718057717498,0.53647765227015
O15230,LAMA5,Laminin subunit alpha-5,10,12.021845,11.758215,0.263629999999999,1.2004955035739,Up,0.273927563709533,0.536729104226595
Q5SSJ5,HP1BP3,Heterochromatin protein 1-binding protein 3,19,17.508195,17.411115,0.0970799999999983,1.06960639781352,Up,0.27409718108774,0.536780614452843
Q9NUQ3,TXLNG,Gamma-taxilin,11,13.415065,13.240115,0.174950000000001,1.12892527855943,Up,0.274191439175776,0.536780614452843
A1L170,C1orf226,Uncharacterized protein C1orf226,5,14.333295,14.01781,0.315484999999999,1.24442993093954,Up,0.274197511634559,0.536780614452843
O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C,3,14.836555,15.008795,-0.17224,0.887463690679731,Down,0.274388611172531,0.536922431172928
Q9NTG7,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",1,10.2148145,10.829551,-0.6147365,0.653049158347297,Down,0.27446035188509,0.536922431172928
Q6N069,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",1,9.741228,10.7350775,-0.9938495,0.502136151053096,Down,0.274513677550813,0.536922431172928
O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,4,10.680205,11.27778,-0.597575,0.660863856421958,Down,0.275171486216966,0.537522073354268
Q6B0B8,TIGD3,Tigger transposable element-derived protein 3,1,11.287405,10.873955,0.413450000000001,1.33186697938202,Up,0.275310505578538,0.537522073354268
Q13823,GNL2,Nucleolar GTP-binding protein 2,18,14.38648,14.1481,0.238380000000001,1.17966727089995,Up,0.275310763040679,0.537522073354268
Q14186,TFDP1,Transcription factor Dp-1,6,13.703495,13.34234,0.361155,1.28445380048375,Up,0.27535786208879,0.537522073354268
O15213,WDR46,WD repeat-containing protein 46,14,13.231145,13.32836,-0.097215,0.934835871917568,Down,0.275363154813995,0.537522073354268
Q14257,RCN2,Reticulocalbin-2,4,11.53245,11.926815,-0.394365,0.760824178524074,Down,0.275364073127919,0.537522073354268
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,9,13.989615,14.144785,-0.15517,0.898026547672269,Down,0.275415246552739,0.537522073354268
Q13029,PRDM2,PR domain zinc finger protein 2,17,13.195415,12.89709,0.298325,1.22971585763008,Up,0.275521759108244,0.537522073354268
Q8ND76,CCNY,Cyclin-Y,8,11.566575,11.993765,-0.42719,0.743708929815301,Down,0.275595338175018,0.537522073354268
P08574,CYC1,"Cytochrome c1, heme protein, mitochondrial",8,14.640675,14.84223,-0.201555,0.869612751209926,Down,0.275730676810934,0.537522073354268
O75533,SF3B1,Splicing factor 3B subunit 1,54,17.127925,17.070745,0.0571800000000025,1.04043006923474,Up,0.275762296549735,0.537522073354268
Q8NFI3,ENGASE,Cytosolic endo-beta-N-acetylglucosaminidase,15,13.71236,13.610245,0.102115000000001,1.07334584144756,Up,0.275942238441973,0.537522073354268
Q5XKP0,MICOS13,MICOS complex subunit MIC13,1,12.839575,13.88158,-1.042005,0.485652064626103,Down,0.275947807561923,0.537522073354268
Q9Y6X3,MAU2,MAU2 chromatid cohesion factor homolog,17,14.735015,14.608775,0.126240000000001,1.09144542971075,Up,0.275958903751101,0.537522073354268
Q7Z6K5,ARPIN,Arpin,2,10.483461,10.052442,0.431019000000001,1.34818548694855,Up,0.276245378173869,0.537726038265434
Q9Y2X9,ZNF281,Zinc finger protein 281,18,13.02658,13.18289,-0.15631,0.89731721835153,Down,0.27626803088698,0.537726038265434
Q14157,UBAP2L,Ubiquitin-associated protein 2-like,11,14.73033,14.61924,0.111089999999997,1.08004393437806,Up,0.276349006213206,0.537726038265434
Q9H2H9,SLC38A1,Sodium-coupled neutral amino acid symporter 1,4,12.161065,11.91328,0.247785,1.18738270122861,Up,0.276389068238414,0.537726038265434
O95372,LYPLA2,Acyl-protein thioesterase 2,3,12.351255,12.78612,-0.434865,0.73976297460946,Down,0.276526667638205,0.537758759553921
P02679,FGG,Fibrinogen gamma chain,3,11.213045,10.474635,0.73841,1.66833614530853,Up,0.276716517854038,0.537758759553921
Q6P4F7,ARHGAP11A,Rho GTPase-activating protein 11A,9,11.824545,11.40784,0.416705,1.33487532219302,Up,0.276723509182952,0.537758759553921
Q8NBZ0,INO80E,INO80 complex subunit E,3,13.010045,12.662465,0.347579999999999,1.27242445083387,Up,0.276731357428186,0.537758759553921
P04040,CAT,Catalase,10,17.6321,17.49548,0.136620000000001,1.0993265530387,Up,0.276989339329266,0.537804154299344
Q02218,OGDH,2-oxoglutarate dehydrogenase complex component E1,28,13.084345,13.219295,-0.13495,0.910701395550281,Down,0.27698952362832,0.537804154299344
Q15532,SS18,Protein SSXT,3,13.019325,12.819785,0.199539999999999,1.14833215354939,Up,0.27699884116129,0.537804154299344
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,3,12.66947,13.059935,-0.390465,0.762883677188052,Down,0.277438256927669,0.538499101331854
P09493,TPM1,Tropomyosin alpha-1 chain,11,15.2892,14.998965,0.290235000000001,1.22283944928353,Up,0.27780607940306,0.539009379940118
Q5VZE5,NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",7,15.15381,15.01919,0.13462,1.09780361869874,Up,0.277864269550005,0.539009379940118
O94892,ZNF432,Zinc finger protein 432,2,11.701935,11.884135,-0.1822,0.881357967279739,Down,0.278104084393343,0.539316283378992
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,1,9.3590275,8.7156455,0.643381999999999,1.56198651672662,Up,0.27851395130206,0.5399526852905
O95453,PARN,Poly(A)-specific ribonuclease PARN,26,18.185395,18.115645,0.0697499999999991,1.04953479734286,Up,0.278752060182533,0.54025582573207
Q9H9C1,VIPAS39,Spermatogenesis-defective protein 39 homolog,9,10.810495,11.433205,-0.62271,0.649449835898527,Down,0.278993662627298,0.540400119738102
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,4,14.65844,14.938165,-0.279725,0.823748021423484,Down,0.279076646137164,0.540400119738102
Q15057,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",10,13.08785,13.413235,-0.325385,0.798085379543427,Down,0.279135055757239,0.540400119738102
Q9UIF7,MUTYH,Adenine DNA glycosylase,3,10.72993,10.39173,0.338200000000001,1.26417833863603,Up,0.27927781890113,0.540400119738102
Q8NBK3,SUMF1,Formylglycine-generating enzyme,2,9.7852835,8.749159,1.0361245,2.05071143802544,Up,0.279283062277311,0.540400119738102
Q6P087,RPUSD3,Mitochondrial mRNA pseudouridine synthase RPUSD3,11,13.236915,12.828355,0.40856,1.32736027199023,Up,0.279317114393306,0.540400119738102
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2,11,15.01777,14.76471,0.25306,1.19173213628965,Up,0.279514074094925,0.540622919430306
O60921,HUS1,Checkpoint protein HUS1,3,12.58569,12.43136,0.15433,1.11290465569175,Up,0.279915183278562,0.540799930683727
Q96MW7,TIGD1,Tigger transposable element-derived protein 1,6,12.814775,13.104445,-0.28967,0.818089165703211,Down,0.279925216411845,0.540799930683727
P05387,RPLP2,Large ribosomal subunit protein P2,5,17.56864,17.36851,0.200130000000001,1.14880186787408,Up,0.280152179177896,0.540799930683727
Q96SK2,TMEM209,Transmembrane protein 209,12,13.748095,13.8723,-0.124205,0.917509499378053,Down,0.280245151486561,0.540799930683727
Q9BUE0,MED18,Mediator of RNA polymerase II transcription subunit 18,4,14.8202,14.511195,0.309004999999999,1.23885299131376,Up,0.280305804869175,0.540799930683727
Q13535,ATR,Serine/threonine-protein kinase ATR,82,15.483605,15.53589,-0.052285,0.964407649978598,Down,0.280437734158326,0.540799930683727
Q00587,CDC42EP1,Cdc42 effector protein 1,8,12.35102,11.84098,0.51004,1.42408967919955,Up,0.280814684427687,0.540799930683727
P08579,SNRPB2,U2 small nuclear ribonucleoprotein B'',7,16.60289,16.335135,0.267755000000001,1.20393291070806,Up,0.280978154192844,0.540799930683727
Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K,7,13.08346,12.899215,0.184244999999999,1.13622220286177,Up,0.281081922693738,0.540799930683727
P42685,FRK,Tyrosine-protein kinase FRK,1,10.976185,12.013155,-1.03697,0.487349949497711,Down,0.281100684013509,0.540799930683727
Q8TF64,GIPC3,PDZ domain-containing protein GIPC3,2,9.141364,8.092789,1.048575,2.06848572313054,Up,0.281238124896793,0.540799930683727
O75128,COBL,Protein cordon-bleu,32,14.24591,14.13587,0.11004,1.07925815947962,Up,0.281294502016557,0.540799930683727
P13631,RARG,Retinoic acid receptor gamma,10,13.47295,13.240415,0.232535000000002,1.17489758210542,Up,0.28148012543297,0.540799930683727
Q9NUW8,TDP1,Tyrosyl-DNA phosphodiesterase 1,21,14.634355,14.75026,-0.115905,0.922803256308319,Down,0.281512705649779,0.540799930683727
P51553,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",5,15.174845,15.48945,-0.314605,0.804071109759205,Down,0.281522443035857,0.540799930683727
P83436,COG7,Conserved oligomeric Golgi complex subunit 7,2,11.21057,12.27657,-1.066,0.477641468191219,Down,0.281559245191605,0.540799930683727
Q9NYU1,UGGT2,UDP-glucose:glycoprotein glucosyltransferase 2,6,10.95236,10.59199,0.360370000000001,1.28375509290022,Up,0.281620410682126,0.540799930683727
Q9UHA4,LAMTOR3,Ragulator complex protein LAMTOR3,2,12.439265,12.776325,-0.33706,0.791652941266375,Down,0.281656757326913,0.540799930683727
Q96QD9,FYTTD1,UAP56-interacting factor,15,15.655855,15.930765,-0.27491,0.826501876416091,Down,0.281719747356256,0.540799930683727
Q9H0J9,PARP12,Protein mono-ADP-ribosyltransferase PARP12,17,13.163675,12.974515,0.189159999999999,1.14009970678591,Up,0.281751010997781,0.540799930683727
Q99569,PKP4,Plakophilin-4,22,13.893635,14.12643,-0.232795,0.850984641724864,Down,0.281751426540904,0.540799930683727
Q9Y333,LSM2,U6 snRNA-associated Sm-like protein LSm2,4,14.96378,14.54517,0.418610000000001,1.33663911638438,Up,0.281825761178963,0.540799930683727
P61163,ACTR1A,Alpha-centractin,12,13.916835,14.08125,-0.164415,0.892290261833821,Down,0.281885987320672,0.540799930683727
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,9,13.05575,12.75596,0.29979,1.23096521988843,Up,0.2819098477504,0.540799930683727
Q99848,EBNA1BP2,Probable rRNA-processing protein EBP2,16,16.920075,17.19742,-0.277345,0.82510807205833,Down,0.281912143890669,0.540799930683727
P04920,SLC4A2,Anion exchange protein 2,4,11.6638,11.12794,0.53586,1.44980613598733,Up,0.281999770317135,0.540799930683727
Q13330,MTA1,Metastasis-associated protein MTA1,22,15.18199,15.054105,0.127884999999999,1.09269063515459,Up,0.282058270473324,0.540799930683727
Q16352,INA,Alpha-internexin,17,13.119255,14.128,-1.008745,0.496978381085301,Down,0.282110338536236,0.540799930683727
Q99622,C12orf57,Protein C10,3,11.667905,11.4838,0.184105000000001,1.13611194852113,Up,0.282127084688853,0.540799930683727
Q16206,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,6,11.72708,11.343215,0.383865,1.30483284241327,Up,0.282307781698262,0.540799930683727
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",15,14.585875,14.757835,-0.17196,0.8876359474225,Down,0.282345281998038,0.540799930683727
Q8NDT2,RBM15B,Putative RNA-binding protein 15B,18,13.21273,13.08966,0.12307,1.08904985508275,Up,0.282355095592648,0.540799930683727
Q13011,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",11,15.18819,15.319135,-0.130945,0.913233064619183,Down,0.282411339451803,0.540799930683727
Q9UIS9,MBD1,Methyl-CpG-binding domain protein 1,6,11.99732,11.232225,0.765094999999999,1.69948190374638,Up,0.282441533396302,0.540799930683727
O43299,AP5Z1,AP-5 complex subunit zeta-1,2,7.783407,8.7899625,-1.0065555,0.497733190836139,Down,0.282469565852659,0.540799930683727
Q05519,SRSF11,Serine/arginine-rich splicing factor 11,11,17.511845,17.27664,0.235205000000001,1.17707398186609,Up,0.282584997424251,0.540864247893679
Q04864,REL,Proto-oncogene c-Rel,2,9.4201745,8.352012,1.0681625,2.09676110939193,Up,0.282745357017529,0.540946725535645
Q99805,TM9SF2,Transmembrane 9 superfamily member 2,3,12.50211,12.688465,-0.186355,0.878823284675525,Down,0.282791789487919,0.540946725535645
P12757,SKIL,Ski-like protein,8,15.98092,16.281775,-0.300855,0.811771165027024,Down,0.283064134788597,0.541311014704235
Q9P0U3,SENP1,Sentrin-specific protease 1,15,14.207245,14.56238,-0.355135,0.781796483201887,Down,0.283385112492882,0.541768067244853
Q14188,TFDP2,Transcription factor Dp-2,5,10.939235,11.235715,-0.29648,0.814236612808708,Down,0.283565351050373,0.541849866037173
Q96G25,MED8,Mediator of RNA polymerase II transcription subunit 8,4,13.60039,13.29491,0.305480000000001,1.23582974244636,Up,0.283591872692174,0.541849866037173
Q9UHN1,POLG2,DNA polymerase subunit gamma-2,11,13.25007,13.42761,-0.17754,0.884209414263138,Down,0.283774880219875,0.542042827564496
P82979,SARNP,SAP domain-containing ribonucleoprotein,11,17.495845,17.354995,0.140849999999997,1.10255452222552,Up,0.284353405838056,0.542974484156776
Q8TAP6,CEP76,Centrosomal protein of 76 kDa,4,11.624735,11.924995,-0.30026,0.81210602682667,Down,0.28448159240324,0.542974484156776
Q9NZ32,ACTR10,Actin-related protein 10,6,12.43289,12.56954,-0.13665,0.909628902382734,Down,0.284509099505964,0.542974484156776
Q9NPA0,EMC7,Endoplasmic reticulum membrane protein complex subunit 7,5,13.918695,13.85387,0.064824999999999,1.04595805659354,Up,0.284671081708321,0.543126783778953
Q9BYD2,MRPL9,Large ribosomal subunit protein bL9m,6,13.095195,12.789365,0.30583,1.23612959298256,Up,0.284841016941058,0.543294164780218
Q9Y3X0,CCDC9,Coiled-coil domain-containing protein 9,3,13.089855,12.64911,0.440745,1.3573050515734,Up,0.285649482305843,0.544115926323309
Q8TB52,FBXO30,F-box only protein 30,3,13.321815,13.85511,-0.533295,0.690974799383948,Down,0.28568047963173,0.544115926323309
Q9H0G5,NSRP1,Nuclear speckle splicing regulatory protein 1,11,14.31487,14.09252,0.222349999999999,1.1666323622363,Up,0.285698044574008,0.544115926323309
Q92626,PXDN,Peroxidasin homolog,7,11.938735,12.19742,-0.258685,0.835849439504543,Down,0.285860980706879,0.544115926323309
Q96F44,TRIM11,E3 ubiquitin-protein ligase TRIM11,9,14.09843,13.921675,0.176755,1.13033859552705,Up,0.285863292532722,0.544115926323309
P78524,DENND2B,DENN domain-containing protein 2B,7,11.384125,11.186405,0.19772,1.1468844139092,Up,0.285913642683689,0.544115926323309
P54652,HSPA2,Heat shock-related 70 kDa protein 2,9,13.57941,13.88636,-0.30695,0.808348883557583,Down,0.285944387292549,0.544115926323309
Q16850,CYP51A1,Lanosterol 14-alpha demethylase,13,12.678555,12.385235,0.29332,1.22545711684819,Up,0.286008807950811,0.544115926323309
Q9BT25,HAUS8,HAUS augmin-like complex subunit 8,3,11.62747,11.69377,-0.0663,0.955084311532394,Down,0.28601282010095,0.544115926323309
Q9NRN9,METTL5,rRNA N(6)-adenosine-methyltransferase METTL5,5,12.819735,13.11806,-0.298325,0.813195986532377,Down,0.2861633706603,0.544245673868754
Q9BQ24,ZFYVE21,Zinc finger FYVE domain-containing protein 21,5,12.33281,12.117675,0.215135000000002,1.16081253218276,Up,0.286335838197195,0.544388285019322
Q8N0Y2,ZNF444,Zinc finger protein 444,4,12.83836,12.532275,0.306085000000001,1.2363481013272,Up,0.28657504036737,0.544388285019322
P51531,SMARCA2,Probable global transcription activator SNF2L2,45,16.123405,16.02927,0.0941349999999979,1.06742521754208,Up,0.286585338723275,0.544388285019322
O75616,ERAL1,"GTPase Era, mitochondrial",13,15.777085,15.59173,0.185354999999999,1.13709674108079,Up,0.286601579686033,0.544388285019322
Q9Y619,SLC25A15,Mitochondrial ornithine transporter 1,5,11.07841,11.600805,-0.522395,0.696215095322558,Down,0.28678403653649,0.544388285019322
Q9UMY1,NOL7,U3 small nucleolar RNA-associated protein NOL7,6,14.073415,13.96779,0.105625,1.07596041383499,Up,0.286802818229746,0.544388285019322
Q9NY27,PPP4R2,Serine/threonine-protein phosphatase 4 regulatory subunit 2,12,13.957095,13.61883,0.338265,1.26423529692646,Up,0.28681495058818,0.544388285019322
O95833,CLIC3,Chloride intracellular channel protein 3,9,11.70214,12.3049,-0.60276,0.658492995733747,Down,0.287184012707841,0.544932282511088
Q9Y5W9,SNX11,Sorting nexin-11,3,12.575015,12.93927,-0.364255,0.776869942919358,Down,0.287769458843155,0.545886439005284
Q96CW6,SLC7A6OS,Probable RNA polymerase II nuclear localization protein SLC7A6OS,1,13.71723,12.71536,1.00187,2.00259405127758,Up,0.287875080465121,0.54593010237991
O95757,HSPA4L,Heat shock 70 kDa protein 4L,20,16.379875,16.25555,0.124324999999999,1.08999763141302,Up,0.288374296428287,0.54612400510754
